Job Title,Employment Type,Experience Level,Expertise Level,Salary,Salary Currency,Company Location,Company Size,Year
ML Engineer,Full-Time,Senior,Expert,383910,United States Dollar,United States,Medium,2023
ML Engineer,Full-Time,Senior,Expert,315850,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,235000,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,204000,United States Dollar,United States,Medium,2023
Applied Scientist,Full-Time,Mid,Intermediate,198000,United States Dollar,United States,Medium,2023
Applied Scientist,Full-Time,Mid,Intermediate,132000,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Mid,Intermediate,141600,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Mid,Intermediate,94400,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,135000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,108000,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,209450,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,167560,United States Dollar,United States,Medium,2023
Staff Machine Learning Engineer,Full-Time,Senior,Expert,185000,United States Dollar,United States,Medium,2021
Staff Data Scientist,Full-Time,Senior,Expert,164000,United States Dollar,United States,Medium,2020
Data Engineer,Full-Time,Senior,Expert,122000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Entry,Junior,80000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Entry,Junior,52500,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,238000,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,149500,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,258000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,186600,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,116500,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,220000,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,228000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,50000,British Pound Sterling,United Kingdom,Medium,2023
Data Engineer,Full-Time,Mid,Intermediate,35000,British Pound Sterling,United Kingdom,Medium,2023
Applied Scientist,Full-Time,Senior,Expert,175000,United States Dollar,United States,Medium,2023
Applied Scientist,Full-Time,Senior,Expert,145000,United States Dollar,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,195000,United States Dollar,United States,Medium,2023
Data Analyst,Full-Time,Senior,Expert,140000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,180000,United States Dollar,United States,Medium,2023
Research Scientist,Full-Time,Mid,Intermediate,220000,United States Dollar,United States,Medium,2023
Research Scientist,Full-Time,Mid,Intermediate,190000,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,105000,Euro,Germany,Large,2023
Consultant Data Engineer,Contract,Senior,Expert,160000,Canadian Dollar,Canada,Large,2023
Data Analyst,Full-Time,Mid,Intermediate,70000,British Pound Sterling,United Kingdom,Large,2023
BI Developer,Full-Time,Senior,Expert,167500,United States Dollar,United States,Medium,2023
BI Developer,Full-Time,Senior,Expert,106500,United States Dollar,United States,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,146000,United States Dollar,United Kingdom,Medium,2023
Machine Learning Engineer,Full-Time,Senior,Expert,97400,United States Dollar,United Kingdom,Medium,2023
Data Scientist,Full-Time,Senior,Expert,278700,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,159300,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,323300,United States Dollar,United States,Medium,2023
Data Scientist,Full-Time,Senior,Expert,184700,United States Dollar,United States,Medium,2023
Data Analyst,Full-Time,Entry,Junior,55000,Canadian Dollar,Canada,Large,2023
Data Engineer,Full-Time,Senior,Expert,170000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,120000,United States Dollar,United States,Medium,2023
Data Engineer,Full-Time,Senior,Expert,166364,United States Dollar,United States,Medium,2023
